,이용횟수
4108182.0,190
4100151.0,11
4130358.0,33
4170273.0,239
4176125.0,47
9100504.0,6
2824.0,378
4116992.0,155
4176776.0,263
235.0,109
4176145.0,11
4170242.0,4
4113572.0,326
4170421.0,175
2552.0,14
4110951.0,1
7937.0,34
9012815.0,17
1851.0,283
9606336.0,93
4130116.0,1100
4199071.0,118
4135069.0,50
4100100.0,257
4107947.0,104
4160243.0,20
4170984.0,286
2822.0,49
4112112.0,28
4100496.0,45
4112111.0,3
4100153.0,662
4179325.0,92
4116709.0,427
4108.0,30
4117202.0,225
4123686.0,537
9036837.0,17
4116841.0,951
8994.0,12
4150260.0,268
4170937.0,279
4107784.0,210
4111732.0,107
4119141.0,56
4111646.0,48
9005683.0,18
4102815.0,4
4130519.0,599
10508.0,9
71344.0,71
4177002.0,39
224.0,245
4199056.0,75
4130052.0,62
4170414.0,81
233.0,172
7103124.0,8
4118153.0,5
9103813.0,36
4100063.0,314
4108190.0,121
2544.0,47
4160362.0,608
4114204.0,399
4118320.0,19
4110105.0,318
4111919.0,92
2731.0,58
4103379.0,23
4130057.0,444
4170507.0,1658
